STATE,total_ballot
United States,60.10%
Alabama,59.10%
Alaska,61.50%
Arizona,56.10%
Arkansas,53.20%
California,58.20%
Colorado,71.90%
Connecticut,64.90%
Delaware,64.40%
District of Columbia,60.70%
Florida,65.60%
Georgia,59.80%
Hawaii,43.20%
Idaho,60.90%
Illinois,63.10%
Indiana,57.90%
Iowa,69.10%
Kansas,59.70%
Kentucky,59.60%
Louisiana,60.60%
Maine,72.90%
Maryland,67.00%
Massachusetts,68.30%
Michigan,65.70%
Minnesota,74.70%
Mississippi,55.20%
Missouri,62.20%
Montana,64.30%
Nebraska,64.00%
Nevada,57.40%
New Hampshire,72.50%
New Jersey,65.80%
New Mexico,54.90%
New York,57.20%
North Carolina,64.90%
North Dakota,61.70%
Ohio,64.20%
Oklahoma,52.30%
Oregon,68.00%
Pennsylvania,63.60%
Rhode Island,59.70%
South Carolina,57.30%
South Dakota,60.00%
Tennessee,51.80%
Texas,51.40%
Utah,57.90%
Vermont,64.80%
Virginia,66.10%
Washington,65.70%
West Virginia,50.20%
Wisconsin,69.50%
Wyoming,60.20%
