STATE,total_ballot
United States,36.70%
Alabama,33.20%
Alaska,54.80%
Arizona,34.10%
Arkansas,40.30%
California,30.70%
Colorado,54.70%
Connecticut,42.50%
Delaware,34.90%
District of Columbia,35.70%
Florida,43.30%
Georgia,38.60%
Hawaii,36.50%
Idaho,39.80%
Illinois,40.80%
Indiana,28.70%
Iowa,50.30%
Kansas,43.30%
Kentucky,44.90%
Louisiana,44.90%
Maine,58.70%
Maryland,42.00%
Massachusetts,44.70%
Michigan,43.20%
Minnesota,50.60%
Mississippi,29.00%
Missouri,33.60%
Montana,47.50%
Nebraska,41.40%
Nevada,29.60%
New Hampshire,48.30%
New Jersey,32.50%
New Mexico,35.40%
New York,29.00%
North Carolina,41.20%
North Dakota,45.00%
Ohio,36.20%
Oklahoma,30.00%
Oregon,53.40%
Pennsylvania,36.50%
Rhode Island,42.40%
South Carolina,35.20%
South Dakota,44.70%
Tennessee,29.80%
Texas,28.30%
Utah,30.30%
Vermont,40.80%
Virginia,36.80%
Washington,43.10%
West Virginia,32.00%
Wisconsin,56.90%
Wyoming,39.70%
