STATE,total_ballot
United States,41.80%
Alabama,43.30%
Alaska,52.90%
Arizona,41.60%
Arkansas,37.90%
California,45.90%
Colorado,51.70%
Connecticut,45.90%
Delaware,49.00%
District of Columbia,29.60%
Florida,42.20%
Georgia,40.60%
Hawaii,40.30%
Idaho,42.90%
Illinois,43.10%
Indiana,38.10%
Iowa,50.70%
Kansas,42.60%
Kentucky,44.30%
Louisiana,40.00%
Maine,55.90%
Maryland,46.70%
Massachusetts,49.40%
Michigan,45.10%
Minnesota,55.80%
Mississippi,37.00%
Missouri,45.70%
Montana,48.40%
Nebraska,38.70%
Nevada,41.40%
New Hampshire,46.10%
New Jersey,37.70%
New Mexico,44.70%
New York,36.30%
North Carolina,39.80%
North Dakota,46.60%
Ohio,46.20%
Oklahoma,39.10%
Oregon,53.90%
Pennsylvania,42.40%
Rhode Island,45.40%
South Carolina,40.30%
South Dakota,53.90%
Tennessee,35.10%
Texas,32.70%
Utah,36.80%
Vermont,49.80%
Virginia,39.10%
Washington,54.30%
West Virginia,37.20%
Wisconsin,52.40%
Wyoming,46.00%
