STATE,total_ballot
United States,58.60%
Alabama,58.60%
Alaska,58.90%
Arizona,53.00%
Arkansas,51.10%
California,55.70%
Colorado,70.60%
Connecticut,61.40%
Delaware,62.30%
District of Columbia,61.60%
Florida,63.30%
Georgia,59.30%
Hawaii,44.50%
Idaho,61.00%
Illinois,59.30%
Indiana,56.00%
Iowa,70.60%
Kansas,58.20%
Kentucky,56.20%
Louisiana,60.80%
Maine,69.30%
Maryland,67.30%
Massachusetts,66.20%
Michigan,65.40%
Minnesota,76.40%
Mississippi,59.30%
Missouri,62.20%
Montana,63.50%
Nebraska,61.10%
Nevada,56.50%
New Hampshire,70.90%
New Jersey,62.20%
New Mexico,54.80%
New York,53.50%
North Carolina,65.40%
North Dakota,60.40%
Ohio,65.10%
Oklahoma,49.20%
Oregon,64.20%
Pennsylvania,59.50%
Rhode Island,58.00%
South Carolina,56.80%
South Dakota,60.10%
Tennessee,52.30%
Texas,49.60%
Utah,56.10%
Vermont,61.20%
Virginia,66.60%
Washington,65.80%
West Virginia,46.30%
Wisconsin,73.30%
Wyoming,59.00%
